ident,ID objet
558525,558520
558525,558521
558525,559630
558525,559631
558525,559632
558525,559633
558525,559634
558525,559635
558525,559636
558525,559637
558525,560830
558525,560834
558525,560844
558525,560846
558525,560947
558525,561476
558525,561685
558525,561686
558525,562192
558525,562193
558525,562194
558525,562195
558525,562557
558525,562558
558525,562670
558525,562767
558525,562868
558525,563352
558525,563353
558525,563354
558525,563355
558525,563431
558525,563432
558525,563461
558525,563462
558525,563518
558525,565670
558525,565671
558525,565700
558525,567012
558525,567013
558525,567153
558525,567908
558525,568866
558525,569179
558525,569181
558525,570793
569108,561661
569108,561662
569108,561663
569108,561664
569108,561665
569108,561666
569108,561667
569108,561668
569108,561669
569108,561670
569108,561671
569108,561672
569108,561685
569108,561686
569108,562192
569108,562193
569108,562194
569108,562195
569108,562271
569108,562478
569108,562479
569108,562503
569108,562545
569108,562546
569108,562547
569108,562548
569108,562549
569108,562550
569108,562551
569108,562552
569108,562553
569108,562554
569108,562555
569108,562556
569108,562557
569108,562558
569108,562588
569108,562652
569108,562653
569108,562670
569108,562868
569108,562877
569108,562970
569108,563473
569108,563518
569108,563634
569108,564374
569108,565654
569108,566899
569108,567357
569108,567396
569108,568024
569108,568866
569108,569545
569108,570759
569108,570821
564751,565601
564751,565603
564751,565605
564751,565611
564751,565613
564751,565615
564751,566560
564751,566561
564751,566562
564751,566563
564751,566564
564751,566565
564751,566566
564751,566567
564751,566568
564751,566569
564751,566570
564751,566571
564751,566601
564751,566603
564751,566605
564751,566611
564751,566613
564751,566615
564751,567042
564751,567048
564751,567192
564751,567643
564751,567832
564751,569256
564751,569298
564751,569299
564751,569586
564751,569818
564751,570012
564751,570073
560400,560880
560400,560881
560400,560882
560400,560883
560400,560884
560400,560885
560400,561880
560400,561881
560400,561882
560400,561883
560400,561884
560400,561885
560400,562623
560400,562624
560400,565501
560400,567907
432664,434444
432664,436501
432664,436503
432664,436504
432664,436506
432664,436507
432664,436509
432664,438792
432664,438814
432664,439908
432664,439911
432664,439912
432664,439915
432664,439916
432664,439919
432664,439920
432664,439921
432664,439923
432664,439924
432664,439927
432664,439928
432664,439931
432664,439932
432664,439934
432664,439935
432664,439936
432664,439939
432664,439940
432664,439942
432664,439943
432664,439944
432664,439946
432664,439947
432664,439948
432664,439951
432664,439952
432664,439955
432664,439956
432664,439959
432664,439960
432664,439963
432664,439964
432664,439967
432664,440377
432664,440378
432664,440379
432664,440382
432664,440454
432664,440456
432664,440468
432664,440469
432664,440472
432664,440476
432664,440478
432664,440480
432664,440482
432664,440484
432664,440486
432664,440488
432664,440490
432664,440494
432664,440496
432664,440500
432664,442573
432664,444681
432664,444684
432664,444687
432664,444689
432664,444690
432664,444696
432664,444697
432664,444698
432664,444699
432664,447806
432664,448169
432664,448170
432664,448726
432664,448788
432664,448794
432664,448847
432664,448848
432664,448861
432664,448862
432664,448891
432664,449052
432664,449556
432664,550053
432664,550054
432664,550055
432664,550056
432664,550552
432664,550827
432664,550829
432664,553187
432664,553188
432664,554175
432664,554584
432664,555720
432664,555774
432664,555829
432664,557630
432664,557923
432664,558181
432664,560129
432664,560312
432664,560349
432664,561161
432664,561404
432664,561767
432664,563130
432664,563940
432664,564473
432664,566110
432664,566118
432664,567115
432664,570831
438809,436507
438809,436509
438809,444698
560545,560836
560545,560860
560545,560861
560545,560862
560545,560863
560545,560864
560545,560865
560545,560870
560545,560871
560545,560872
560545,560873
560545,560874
560545,560875
560545,561860
560545,561861
560545,561862
560545,561863
560545,561864
560545,561865
560545,561870
560545,561871
560545,561872
560545,561873
560545,561874
560545,561875
560545,562743
560545,562788
560545,563457
560545,563458
560545,563459
560545,563460
560545,565601
560545,565602
